Final Project: Stock Data,,,,,,
,,,,,,
Group,Symbol,Price,ADV,Volatility,LnMktCap,EstReturn %
19,URI,66.99,"1,886,000",0.3444,22.71,0.21
19,USB,45.21,"6,831,000",0.1464,25.07,0.08
19,UTX,99.66,"3,671,000",0.163,25.18,0.11
19,V,75.22,"11,165,000",0.2034,25.99,0.11
19,VAR,86.07,"707,000",0.1822,22.8,0.08
19,VFC,76.75,"1,981,000",0.1783,24.07,0.09
19,VIAB,57,"2,883,000",0.203,23.73,0.12
19,VLO,65.6,"7,456,000",0.2875,24.29,0.16
19,VMC,90.92,"925,000",0.2352,23.37,0.10
19,VNO,96.9,"884,000",0.155,23.64,0.07
19,VRSN,70.94,"1,247,000",0.2037,23.01,0.09
19,VRTX,135,"1,778,000",0.4294,24.21,0.24
